Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,variety_labeled,class_labeled,size_labeled,package_labeled,market_labeled,kg_price
BRAEBURN,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,70,1,66,BLO,0,0,0,0,0,7.78
CRIPPS PINK,CLASS 1,EXTRA LARGE,CARTON,18,208,1250,6,78,BLO,1,1,1,1,0,11.56
CRIPPS PINK,CLASS 1,LARGE,CARTON,18,198,1590,8,144,BLO,1,1,2,1,0,11.0
CRIPPS PINK,CLASS 1,SMALL,ECONOMIC PACK,12,134,4288,32,149,BLO,1,1,3,2,0,11.17
CRIPPS PINK,CLASS 2,LARGE,DOMPLE JUMBLE,10,64,1604,25,22,BLO,1,0,2,0,0,6.4
CRIPPS PINK,CLASS 2,LARGE,DOMPLE JUMBLE,11,65,1645,25,303,BLO,1,0,2,0,0,5.91
CRIPPS PINK,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,31,250,8,0,BLO,1,0,4,0,0,3.44
CRIPPS PINK,CLASS 2,MEDIUM,DOMPLE JUMBLE,11,55,550,10,487,BLO,1,0,4,0,0,5.0
CRIPPS PINK,CLASS 2,SMALL,DOMPLE JUMBLE,9,35,1380,39,0,BLO,1,0,3,0,0,3.89
CRIPPS PINK,CLASS 2,SMALL,DOMPLE JUMBLE,10,58,1935,33,0,BLO,1,0,3,0,0,5.8
CRIPPS PINK,CLASS 2,SMALL,DOMPLE JUMBLE,11,64,15645,241,540,BLO,1,0,3,0,0,5.82
CRIPPS RED,CLASS 1,SMALL,ECONOMIC PACK,12,90,90,1,0,BLO,2,1,3,2,0,7.5
FUJI,CLASS 1,EXTRA LARGE,CARTON,18,170,2210,13,99,BLO,3,1,1,1,0,9.44
FUJI,CLASS 1,SMALL,ECONOMIC PACK,12,159,636,4,252,BLO,3,1,3,2,0,13.25
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,71,6624,93,546,BLO,3,0,4,0,0,7.89
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,6720,96,163,BLO,3,0,0,0,0,7.78
GOLDEN DELICIOUS,CLASS 1,SMALL,ECONOMIC PACK,12,139,6398,46,318,BLO,4,1,3,2,0,11.58
GOLDEN DELICIOUS,CLASS 1,LARGE,ECONOMIC PACK,12,148,592,4,0,BLO,4,1,2,2,0,12.33
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,12,200,800,4,98,BLO,4,1,1,1,0,16.67
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,249,6475,26,78,BLO,4,1,1,1,0,13.83
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,220,21560,98,163,BLO,4,1,2,1,0,12.22
GOLDEN DELICIOUS,CLASS 1,MEDIUM,CARTON,18,200,800,4,4,BLO,4,1,4,1,0,11.11
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,9855,140,197,BLO,4,0,0,0,0,7.78
GOLDEN DELICIOUS,CLASS 2,LARGE,DOMPLE JUMBLE,9,80,12536,156,299,BLO,4,0,2,0,0,8.89
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,78,12521,160,578,BLO,4,0,4,0,0,8.67
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,68,57099,839,132,BLO,4,0,3,0,0,7.56
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,25,1075,43,0,BLO,4,0,3,3,0,8.33
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,193,1930,10,55,BLO,5,1,1,1,0,10.72
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,100,100,1,16,BLO,5,1,2,1,0,5.56
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,112,1920,17,209,BLO,5,1,3,2,0,9.33
GRANNY SMITH,CLASS 2,SMALL,ECONOMIC PACK,12,120,1440,12,42,BLO,5,0,3,2,0,10.0
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,69,9142,132,193,BLO,5,0,2,0,0,7.67
GRANNY SMITH,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,52,2870,55,431,BLO,5,0,4,0,0,5.78
GRANNY SMITH,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,150,3,79,BLO,5,0,3,0,0,5.56
GRANNY SMITH,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,65,461,7,93,BLO,5,0,0,0,0,7.22
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,15,540,36,5,BLO,6,0,4,0,0,1.67
ROYAL BEAUT,CLASS 2,LARGE,DOMPLE JUMBLE,9,90,450,5,175,BLO,7,0,2,0,0,10.0
ROYAL GALA,CLASS 1,MEDIUM,ECONOMIC PACK,12,143,6160,43,18,BLO,8,1,4,2,0,11.92
ROYAL GALA,CLASS 1,SMALL,ECONOMIC PACK,12,90,90,1,192,BLO,8,1,3,2,0,7.5
ROYAL GALA,CLASS 1,EXTRA LARGE,CARTON,18,203,610,3,6,BLO,8,1,1,1,0,11.28
ROYAL GALA,CLASS 1,LARGE,CARTON,18,204,1430,7,51,BLO,8,1,2,1,0,11.33
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,60,16440,270,90,BLO,8,0,3,0,0,6.67
ROYAL GALA,CLASS 2,MEDIUM,QUARTER POCKET,3,25,2580,101,1153,BLO,8,0,4,3,0,8.33
ROYAL GALA,CLASS 1,SMALL,QUARTER POCKET,3,180,1080,6,28,BLO,8,1,3,3,0,60.0
ROYAL GALA,CLASS 2,LARGE,DOMPLE JUMBLE,9,87,3075,35,147,BLO,8,0,2,0,0,9.67
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,68,20354,298,578,BLO,8,0,4,0,0,7.56
STARKING,CLASS 1,EXTRA LARGE,CARTON,18,186,2240,12,191,BLO,9,1,1,1,0,10.33
STARKING,CLASS 2,LARGE,DOMPLE JUMBLE,9,84,9010,107,0,BLO,9,0,2,0,0,9.33
STARKING,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,80,27440,343,0,BLO,9,0,4,0,0,8.89
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,65,13745,210,0,BLO,10,0,4,0,0,7.22
SUNDOWNER,CLASS 2,SMALL,DOMPLE JUMBLE,9,75,150,2,178,BLO,10,0,3,0,0,8.33
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,6605,28,266,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,LARGE,CARTON,18,220,10780,49,84,BLO,11,1,2,1,0,12.22
TOP RED,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,25,225,9,6,BLO,11,0,4,0,0,2.78
BRAEBURN,CLASS 1,SMALL,ECONOMIC PACK,12,134,2548,19,93,BLO,0,1,3,2,0,11.17
BRAEBURN,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,70,1,67,BLO,0,0,0,0,0,7.78
CRIPPS PINK,CLASS 1,SMALL,ECONOMIC PACK,12,142,284,2,181,BLO,1,1,3,2,0,11.83
CRIPPS PINK,CLASS 1,LARGE,CARTON,18,210,2100,10,103,BLO,1,1,2,1,0,11.67
CRIPPS PINK,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,51,510,10,8,BLO,1,0,4,0,0,5.67
CRIPPS PINK,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,2350,47,39,BLO,1,0,3,0,0,5.56
CRIPPS PINK,CLASS 2,SMALL,DOMPLE JUMBLE,11,50,200,4,61,BLO,1,0,3,0,0,4.55
CRIPPS RED,CLASS 1,EXTRA LARGE,CARTON,18,190,760,4,3,BLO,2,1,1,1,0,10.56
CRIPPS RED,CLASS 1,MEDIUM,CARTON,18,170,170,1,23,BLO,2,1,4,1,0,9.44
CRIPPS RED,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,75,75,1,8,BLO,2,0,4,0,0,8.33
FUJI,CLASS 1,EXTRA LARGE,CARTON,18,170,340,2,112,BLO,3,1,1,1,0,9.44
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,65,3950,60,375,BLO,3,0,4,0,0,7.22
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,71,142,2,83,BLO,3,0,0,0,0,7.89
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,12,202,1620,8,102,BLO,4,1,1,1,0,16.83
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,246,3200,13,104,BLO,4,1,1,1,0,13.67
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,235,7050,30,261,BLO,4,1,2,1,0,13.06
GOLDEN DELICIOUS,CLASS 1,SMALL,ECONOMIC PACK,12,152,456,3,364,BLO,4,1,3,2,0,12.67
GOLDEN DELICIOUS,CLASS 1,LARGE,ECONOMIC PACK,12,152,456,3,4,BLO,4,1,2,2,0,12.67
GOLDEN DELICIOUS,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,75,11475,153,73,BLO,4,0,0,0,0,8.33
GOLDEN DELICIOUS,CLASS 2,LARGE,DOMPLE JUMBLE,9,81,32562,401,257,BLO,4,0,2,0,0,9.0
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,81,50305,617,290,BLO,4,0,4,0,0,9.0
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,50,2655,53,75,BLO,4,0,3,0,0,5.56
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,180,180,1,9,BLO,5,1,1,1,0,10.0
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,140,420,3,17,BLO,5,1,2,1,0,7.78
GRANNY SMITH,CLASS 2,SMALL,ECONOMIC PACK,12,120,240,2,54,BLO,5,0,3,2,0,10.0
GRANNY SMITH,CLASS 1,SMALL,ECONOMIC PACK,12,126,3284,26,226,BLO,5,1,3,2,0,10.5
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,68,1565,23,25,BLO,5,0,2,0,0,7.56
GRANNY SMITH,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,49,5219,105,22,BLO,5,0,4,0,0,5.44
GRANNY SMITH,CLASS 2,SMALL,DOMPLE JUMBLE,9,43,344,8,82,BLO,5,0,3,0,0,4.78
GRANNY SMITH,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,67,336,5,12,BLO,5,0,0,0,0,7.44
PINK LADY,CLASS 2,MEDIUM,CARTON,18,165,3795,23,0,BLO,6,0,4,1,0,9.17
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,20,1440,69,41,BLO,6,0,4,0,0,2.22
ROYAL GALA,CLASS 1,MEDIUM,ECONOMIC PACK,12,151,6983,46,61,BLO,8,1,4,2,0,12.58
ROYAL GALA,CLASS 1,SMALL,ECONOMIC PACK,12,148,3108,21,1,BLO,8,1,3,2,0,12.33
ROYAL GALA,CLASS 1,LARGE,CARTON,18,200,200,1,3,BLO,8,1,2,1,0,11.11
ROYAL GALA,CLASS 2,MEDIUM,QUARTER POCKET,3,26,522,20,624,BLO,8,0,4,3,0,8.67
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,56,280,5,66,BLO,8,0,4,0,0,6.22
STARKING,CLASS 1,EXTRA LARGE,CARTON,18,180,1800,10,203,BLO,9,1,1,1,0,10.0
