Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,Variety_labeled,Class_labeled,Size_labeled,Package_labeled,Market_labeled
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,150,4050,27,285,CAP,0,0,0,0,0
HANDS,CLASS 2,EXTRA LARGE,CRATE,20,144,32180,223,0,CAP,1,1,0,1,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,213,195830,919,5804,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,CRATE,20,140,15400,110,0,CAP,1,1,1,1,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,190,362520,1901,3841,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,155,50390,325,1126,CAP,1,1,2,0,0
HANDS,CLASS 2,SMALL,BANANA BOX,18,90,4980,55,186,CAP,1,1,3,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,226,327270,1448,5371,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,194,224240,1150,2650,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,165,210180,1270,1455,CAP,1,0,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,130,28600,220,152,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,120,720,6,412,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,110,5500,50,75,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,113,6340,56,79,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,130,5200,40,228,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,120,12360,103,150,CAP,0,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,182,398240,2180,2651,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,164,218870,1330,1591,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,137,74100,539,1978,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,186,207250,1112,4692,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,CRATE,20,130,5200,40,110,CAP,1,1,1,1,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,161,120030,741,5199,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,133,42460,318,849,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,137,15920,116,614,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,108,13900,128,153,CAP,0,0,0,0,0
