Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R1050,10,132,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.50 kg,R0.00,R0.00,R0.00,R�,R0,0,600,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.00 kg,R0.00,R0.00,R0.00,R�,R0,0,30,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,142,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,142,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.00 kg,R0.00,R0.00,R0.00,R�,R0,0,30,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.00 kg,R0.00,R0.00,R0.00,R�,R0,0,30,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,142,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.00 kg,R0.00,R0.00,R0.00,R�,R0,0,30,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,142,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R210,2,193,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R210,2,193,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R4515,43,195,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,238,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,241,Cape Town Fresh Produce Market (CAP)
