Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
AVOCADOS,EDRANOL,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,247,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,STANDARD TRAY,4.00 kg,R80.11,R85.00,R77.00,R80.12,R1362,17,169,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,LARGE,SUGAR POCKET,20.00 kg,R164.36,R210.00,R155.00,R164.36,R9040,55,443,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R162.85,R170.00,R160.00,R162.86,R1140,7,0,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,DOUBBLE LAYER TRAY,10.00 kg,R120.00,R120.00,R120.00,R120.00,R120,1,4,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,PUNNET,0.50 kg,R15.52,R18.00,R15.50,R15.52,R1568,101,1228,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,QUARTER POCKET,3.00 kg,R8.00,R16.00,R7.00,R8.00,R2553,319,557,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R59.91,R100.00,R50.00,R59.92,R14260,238,536,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,36,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 1,LARGE,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,24,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 2,LARGE,STANDARD TRAY,4.00 kg,R86.96,R95.00,R80.00,R86.97,R2870,33,795,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R210.00,R210.00,R210.00,R210.00,R4410,21,203,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,RYAN,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,90,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,RYAN,CLASS 2,LARGE,PUNNET,0.50 kg,R14.61,R20.00,R12.00,R14.62,R1140,78,156,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,EDRANOL,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R74.11,R100.00,R60.00,R74.12,R1260,17,247,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,STANDARD TRAY,4.00 kg,R81.19,R85.00,R80.00,R81.20,R3735,46,186,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,LARGE,SUGAR POCKET,20.00 kg,R180.33,R185.00,R180.00,R180.33,R2705,15,498,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R173.53,R182.00,R50.00,R173.54,R11974,69,7,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,PUNNET,0.50 kg,R15.18,R20.00,R15.00,R15.19,R16420,1081,1329,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,DOUBBLE LAYER TRAY,10.00 kg,R120.00,R120.00,R120.00,R120.00,R480,4,5,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,QUARTER POCKET,3.00 kg,R10.19,R15.00,R5.00,R10.20,R2152,211,876,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,36,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R77.27,R105.00,R60.00,R77.27,R2550,33,774,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 1,LARGE,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,24,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 2,LARGE,STANDARD TRAY,4.00 kg,R83.00,R85.00,R80.00,R83.00,R1245,15,0,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,RYAN,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,90,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,RYAN,CLASS 2,LARGE,PUNNET,0.50 kg,R16.46,R18.00,R16.00,R16.46,R214,13,234,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,EDRANOL,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,264,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,STANDARD TRAY,4.00 kg,R80.00,R80.00,R80.00,R80.00,R3280,41,241,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,LARGE,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,520,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R197.77,R200.00,R180.00,R197.78,R1780,9,96,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,DOUBBLE LAYER TRAY,10.00 kg,R0.00,R0.00,R0.00,R�,R0,0,11,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,PUNNET,0.50 kg,R16.66,R18.00,R16.00,R16.67,R3000,180,2660,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,QUARTER POCKET,3.00 kg,R10.00,R10.00,R10.00,R10.00,R1050,105,1092,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,36,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 1,LARGE,STANDARD TRAY,4.00 kg,R56.94,R100.00,R45.00,R56.95,R31550,554,0,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R70.00,R70.00,R70.00,R70.00,R140,2,1310,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 2,LARGE,STANDARD TRAY,4.00 kg,R81.21,R90.00,R80.00,R81.22,R11695,144,77,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,PINKERTON,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R196.73,R200.00,R180.00,R196.73,R5115,26,6,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,RYAN,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R90.00,R90.00,R90.00,R90.00,R180,2,90,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,RYAN,CLASS 2,LARGE,PUNNET,0.50 kg,R15.10,R18.00,R10.00,R15.10,R3459,229,248,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,EDRANOL,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,264,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,EDRANOL,CLASS 1,MEDIUM,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,264,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,STANDARD TRAY,4.00 kg,R80.00,R80.00,R80.00,R80.00,R320,4,282,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,STANDARD TRAY,4.00 kg,R80.00,R80.00,R80.00,R80.00,R320,4,282,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,LARGE,SUGAR POCKET,20.00 kg,R188.38,R190.00,R180.00,R188.39,R5840,31,520,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R189.33,R200.00,R180.00,R189.33,R2840,15,105,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,LARGE,SUGAR POCKET,20.00 kg,R188.38,R190.00,R180.00,R188.39,R5840,31,520,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,SUGAR POCKET,20.00 kg,R189.33,R200.00,R180.00,R189.33,R2840,15,105,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,PUNNET,0.50 kg,R16.55,R18.00,R16.00,R16.56,R5960,360,2840,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,PUNNET,0.50 kg,R16.55,R18.00,R16.00,R16.56,R5960,360,2840,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,DOUBBLE LAYER TRAY,10.00 kg,R158.57,R160.00,R150.00,R158.57,R1110,7,11,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,DOUBBLE LAYER TRAY,10.00 kg,R158.57,R160.00,R150.00,R158.57,R1110,7,11,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,QUARTER POCKET,3.00 kg,R12.00,R12.00,R12.00,R12.00,R36,3,1197,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,HASS,CLASS 2,MEDIUM,QUARTER POCKET,3.00 kg,R12.00,R12.00,R12.00,R12.00,R36,3,1197,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,36,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
AVOCADOS,OTHER VARIETIES,CLASS 3,MEDIUM,SUGAR POCKET,20.00 kg,R0.00,R0.00,R0.00,R�,R0,0,36,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
