Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R215.00,R215.00,R215.00,R215.00,R430,2,164,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R175.00,R175.00,R175.00,R175.00,R175,1,37,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R140.00,R140.00,R140.00,R140.00,R4760,34,66,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R208.03,R230.00,R190.00,R208.03,R97983,471,1194,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R183.56,R200.00,R170.00,R183.57,R40935,223,762,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R159.22,R190.00,R150.00,R159.22,R33755,212,894,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R193.16,R215.00,R180.00,R193.16,R76685,397,1426,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R172.15,R185.00,R170.00,R172.16,R42695,248,1920,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R141.84,R160.00,R112.00,R141.85,R36738,259,1335,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R140.00,R140.00,R140.00,R140.00,R8680,62,388,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,116,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,38,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,100,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R210.59,R235.00,R200.00,R210.59,R30115,143,700,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R180.50,R230.00,R140.00,R180.51,R35560,197,300,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R141.46,R170.00,R100.00,R141.46,R42580,301,406,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R200.00,R200.00,R200.00,R200.00,R20000,100,653,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R179.95,R180.00,R175.00,R179.95,R18355,102,988,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R120.88,R150.00,R95.00,R120.89,R31310,259,1144,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R102.25,R110.00,R100.00,R102.25,R32720,320,250,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,113,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,100,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R194.87,R220.00,R170.00,R194.88,R78340,402,1116,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R167.78,R180.00,R130.00,R167.78,R70972,423,989,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R159.50,R200.00,R100.00,R159.50,R45139,283,1128,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R172.76,R185.00,R100.00,R172.76,R46992,272,423,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R159.76,R165.00,R120.00,R159.76,R50325,315,390,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R128.73,R140.00,R100.00,R128.74,R31026,241,699,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,650,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R-∞,R-2500,0,113,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,100,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R-∞,R-2500,0,113,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,100,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R181.82,R225.00,R170.00,R181.82,R142550,784,1518,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R166.14,R190.00,R120.00,R166.15,R76760,462,1412,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R137.10,R170.00,R80.00,R137.11,R103104,752,1411,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R181.82,R225.00,R170.00,R181.82,R142550,784,1518,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R166.14,R190.00,R120.00,R166.15,R76760,462,1412,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R137.10,R170.00,R80.00,R137.11,R103104,752,1411,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R165.50,R185.00,R100.00,R165.51,R108740,657,695,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
