Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,168,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R65.98,R216.00,R24.00,R65.99,R37548,569,168,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R68.71,R216.00,R24.00,R68.71,R11544,168,233,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R135.29,R180.00,R40.00,R135.29,R2300,17,242,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R135.29,R180.00,R40.00,R135.29,R2300,17,242,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,208,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,208,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R62.49,R180.00,R28.00,R62.50,R6312,101,208,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R74.47,R180.00,R24.00,R74.47,R9756,131,213,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R98.07,R144.00,R96.00,R98.07,R15888,162,248,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R127.27,R180.00,R45.00,R127.27,R4200,33,410,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R51.18,R180.00,R24.00,R51.18,R2508,49,265,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R52.43,R180.00,R12.00,R52.43,R15468,295,192,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R83.94,R180.00,R72.00,R83.95,R19896,237,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R83.94,R180.00,R72.00,R83.95,R19896,237,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R83.94,R180.00,R72.00,R83.95,R19896,237,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R83.94,R180.00,R72.00,R83.95,R19896,237,352,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R134.05,R180.00,R120.00,R134.06,R27348,204,357,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R134.05,R180.00,R120.00,R134.06,R27348,204,357,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R110.00,R120.00,R60.00,R110.00,R660,6,388,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R110.00,R120.00,R60.00,R110.00,R660,6,388,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R139.27,R240.00,R96.00,R139.27,R9192,66,290,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R54.19,R180.00,R20.00,R54.20,R13820,255,291,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R54.19,R180.00,R20.00,R54.20,R13820,255,291,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R54.19,R180.00,R20.00,R54.20,R13820,255,291,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R54.19,R180.00,R20.00,R54.20,R13820,255,291,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R64.77,R240.00,R20.00,R64.78,R6348,98,220,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R64.77,R240.00,R20.00,R64.78,R6348,98,220,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R64.77,R240.00,R20.00,R64.78,R6348,98,220,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R64.77,R240.00,R20.00,R64.78,R6348,98,220,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R64.77,R240.00,R20.00,R64.78,R6348,98,220,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R0.00,R0.00,R0.00,R�,R0,0,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
RASPBERRY,NO VARIETY,NOT GRADED,NO SIZE,STANDARD POCKET,1.50 kg,R63.15,R240.00,R20.00,R63.16,R13200,209,50,Cape Town Fresh Produce Market (CAP)
