Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,STANDARD TRAY,4.00 kg,R400.00,R400.00,R400.00,R400.00,R400,1,9,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.30 kg,R25.00,R25.00,R25.00,R25.00,R5200,208,43,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,STANDARD TRAY,4.00 kg,R0.00,R0.00,R0.00,R�,R0,0,10,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.30 kg,R25.00,R25.00,R25.00,R25.00,R16000,640,251,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,STANDARD TRAY,4.00 kg,R440.00,R480.00,R400.00,R440.00,R880,2,10,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.20 kg,R0.00,R0.00,R0.00,R�,R0,0,3,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.30 kg,R25.11,R30.00,R25.00,R25.12,R16880,672,1003,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,STANDARD TRAY,4.00 kg,R407.84,R480.00,R400.00,R407.85,R21616,53,12,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.20 kg,R0.00,R0.00,R0.00,R�,R0,0,3,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.30 kg,R0.00,R0.00,R0.00,R�,R0,0,43,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,STANDARD TRAY,4.00 kg,R407.84,R480.00,R400.00,R407.85,R21616,53,12,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
STRAWBERIES,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.20 kg,R0.00,R0.00,R0.00,R�,R0,0,3,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
