Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R3.00,R3.00,R3.00,R3.00,R324,108,0,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,EACH,3.00 kg,R0.00,R0.00,R0.00,R�,R0,0,108,Bloemfontein (Mangaung) Fresh Produce Market (BLO)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,4,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,SMALL,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,7,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,4,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,SMALL,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,7,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,4,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,SMALL,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,7,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,LARGE,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,4,Cape Town Fresh Produce Market (CAP)
WATERMELONS,NO VARIETY,NOT GRADED,SMALL,CRATE,50.00 kg,R0.00,R0.00,R0.00,R�,R0,0,7,Cape Town Fresh Produce Market (CAP)
